objective,seed,generator,dedup,n_cand,best_b10,best_b40,best_b80,revisits
func2C,1021,keep,combination,200,-0.2063207690358011,-0.20632405607918675,-0.20632495328573572,0
func2C,1021,flip,combination,50,-0.11596672711306828,-0.18304984192588547,-0.20241704561153803,0
func2C,1021,flip,combination,200,-0.18659253701953077,-0.18659253701953077,-0.20417216188780815,0
func2C,1022,keep,combination,1000,-0.2063106288528076,-0.20632557571714139,-0.20632557571714139,0
func2C,1022,keep,encoding,1000,-0.20632294597762008,-0.20632560137868028,-0.20632560137868028,0
func2C,1022,flip,combination,1000,-0.18671104904633956,-0.20019149739271147,-0.20484016926069154,0
func2C,1022,flip,encoding,1000,-0.19358868932675483,-0.20550942347355675,-0.20550942347355675,0
func2C,1022,random,combination,1000,0.09352490725842134,0.019502167596088926,0.019502167596088926,0
func2C,1022,keep,combination,50,-0.20537931350222566,-0.2063029613230737,-0.2063125862291099,0
func2C,1022,keep,combination,200,-0.20632030382126101,-0.20632030382126101,-0.20632514872284355,0
func2C,1022,flip,combination,50,-0.1401913606219674,-0.17068795837109962,-0.17068795837109962,0
func2C,1022,flip,combination,200,-0.150194136625659,-0.20361452063345334,-0.20361452063345334,0
func2C,1023,keep,combination,1000,-0.206315166343389,-0.20632564782284693,-0.20632564782284693,0
func2C,1023,keep,encoding,1000,-0.2063245244318967,-0.20632559141714263,-0.20632559141714263,0
func2C,1023,flip,combination,1000,-0.20371941683801356,-0.20371941683801356,-0.20371941683801356,0
func2C,1023,flip,encoding,1000,-0.18835483964225108,-0.19893017197331003,-0.2051271931597621,0
func2C,1023,random,combination,1000,0.06062835617534397,0.015424988458634891,0.015424988458634891,0
func2C,1023,keep,combination,50,-0.20609531248797439,-0.20631636607575587,-0.20632323625618326,0
func2C,1023,keep,combination,200,-0.20631057809406195,-0.2063205859187592,-0.20632393379926334,0
func2C,1023,flip,combination,50,-0.2027939730444285,-0.2027939730444285,-0.2027939730444285,0
func2C,1023,flip,combination,200,-0.16484123776428064,-0.20376621149893553,-0.20376621149893553,0
func2C,1024,keep,combination,1000,-0.2063251376299763,-0.20632542608185833,-0.20632542608185833,0
func2C,1024,keep,encoding,1000,-0.20632050871732638,-0.20632492852404155,-0.20632512397109393,0
func2C,1024,flip,combination,1000,-0.1929760243339545,-0.20484599108762552,-0.20531522431817298,0
func2C,1024,flip,encoding,1000,-0.191147817728455,-0.2048318211583918,-0.2048318211583918,0
func2C,1024,random,combination,1000,0.0553027401899409,0.0553027401899409,0.026913756894231523,0
func2C,1024,keep,combination,50,-0.15313604688303473,-0.20629631937330029,-0.20629631937330029,0
func2C,1024,keep,combination,200,-0.2062355453431505,-0.20632418336974262,-0.20632559014560825,0
func2C,1024,flip,combination,50,-0.10118815769492424,-0.2000824711595442,-0.2000824711595442,0
func2C,1024,flip,combination,200,-0.0968943628396802,-0.2020940515962542,-0.20449916910184215,0
func2C,1025,keep,combination,1000,-0.20632273320901523,-0.2063254953237666,-0.2063254953237666,0
func2C,1025,keep,encoding,1000,-0.20632403667231594,-0.2063251604120556,-0.20632519752211417,0
func2C,1025,flip,combination,1000,-0.20608980169726804,-0.20608980169726804,-0.20608980169726804,0
func2C,1025,flip,encoding,1000,-0.17481839046767078,-0.20616538017749103,-0.20616538017749103,0
func2C,1025,random,combination,1000,0.11417704600080916,0.08268782377864914,0.08268782377864914,0
func2C,1025,keep,combination,50,-0.20498948206377685,-0.2063012392892257,-0.20630839431557485,0
func2C,1025,keep,combination,200,-0.20627290129753262,-0.2063253153846949,-0.2063253153846949,0
func2C,1025,flip,combination,50,-0.11410505042251007,-0.17296332480434248,-0.17296332480434248,0
func2C,1025,flip,combination,200,-0.18586972818550948,-0.19405897975397465,-0.20574946701178667,0
func3C,1001,keep,combination,1000,-0.722132349886513,-0.7221384132089633,-0.7221384132089633,0
func3C,1001,keep,encoding,1000,-0.722127512337587,-0.7221383577942426,-0.7221383577942426,0
func3C,1001,flip,combination,1000,-0.5771483907106141,-0.7102795599314655,-0.7102795599314655,0
func3C,1001,flip,encoding,1000,-0.6668579790957717,-0.7220315249023577,-0.7220315249023577,0
func3C,1001,random,combination,1000,0.37342617099733577,0.06400056957578615,0.06400056957578615,0
func3C,1001,keep,combination,50,-0.7149845184720482,-0.7221265652595862,-0.7221265652595862,0
func3C,1001,keep,combination,200,-0.7220731646884881,-0.7221386670704808,-0.7221386670704808,0
func3C,1001,flip,combination,50,-0.035451348464069554,-0.6418529126528025,-0.6418529126528025,0
func3C,1001,flip,combination,200,-0.6188678979133966,-0.6188678979133966,-0.7138420252282429,0
func3C,1002,keep,combination,1000,-0.7221193565926443,-0.722136141277925,-0.7221392794363021,0
func3C,1002,keep,encoding,1000,-0.7221045691000505,-0.7221396354732774,-0.7221396354732774,0
func3C,1002,flip,combination,1000,-0.7128095059469854,-0.7128095059469854,-0.7128095059469854,0
