objective,seed,surrogate,generator,dedup,best_b10,best_b40,best_b80,revisits
func2C,1023,random,random,combination,0.2283591052007047,-0.09069749407719753,-0.11458825197655312,0
func2C,1024,gp,keep,combination,0.051678945118018786,0.02506373233903991,0.02506373233903991,0
func2C,1024,gp,keep,encoding,0.14849573363371785,0.02304262836072788,0.0025563249405498403,0
func2C,1024,gp,flip,combination,0.04267845376693955,0.04267845376693955,0.025180886292228245,0
func2C,1024,gp,flip,encoding,0.021621796457707964,0.02111269675856156,0.02111269675856156,0
func2C,1024,rf,keep,combination,0.21768076338195907,0.07718507987331846,-0.015264505487623769,0
func2C,1024,rf,keep,encoding,0.18756301932682942,-0.05897326433302523,-0.1883716576588664,0
func2C,1024,rf,flip,combination,0.21768076338195907,0.1429032955334042,-0.1361321541572238,0
func2C,1024,rf,flip,encoding,0.20251156111962199,0.1429421385292764,0.035991159175524666,0
func2C,1024,tpe,own,own,0.014612894384765839,0.0055647007155370295,0.001295670700901616,0
func2C,1024,random,random,combination,0.1947274676085203,0.040060719372565126,0.02817653057791206,0
func2C,1025,gp,keep,combination,0.21221159234447118,0.10787689188081111,0.03409606606312087,0
func2C,1025,gp,keep,encoding,0.1197605915447492,0.06276712213271517,-0.08942011648001866,0
func2C,1025,gp,flip,combination,0.21017457495935754,0.05780827542184595,0.021018982055875025,0
func2C,1025,gp,flip,encoding,0.204619395131226,0.05488061825733093,-0.15171094705363075,0
func2C,1025,rf,keep,combination,0.10719738629284485,0.04210692782708992,-0.17706684115415916,0
func2C,1025,rf,keep,encoding,0.09383211513680699,0.058002523695895626,-0.042189186834518264,0
func2C,1025,rf,flip,combination,0.0322425632101141,-0.01045366723938248,-0.01045366723938248,0
func2C,1025,rf,flip,encoding,0.07095863910026574,0.05009682364721155,-0.06137009907696182,0
func2C,1025,tpe,own,own,-0.1047135165250308,-0.12781753422360392,-0.1480682470939745,0
func2C,1025,random,random,combination,0.03499272734647578,-0.18552935697713435,-0.18552935697713435,0
func3C,1001,gp,keep,combination,0.0942688296577383,-0.09836203122167092,-0.16953412653539027,0
func3C,1001,gp,keep,encoding,-0.15557934993706363,-0.15557934993706363,-0.34014189533359085,0
func3C,1001,gp,flip,combination,0.034203165657512885,-0.19396325785531648,-0.6434824546496802,0
func3C,1001,gp,flip,encoding,-0.0004038762380633165,-0.35629866041787156,-0.5897956272555185,0
func3C,1001,rf,keep,combination,0.19254374040957323,0.19254374040957323,-0.00744383411151156,0
func3C,1001,rf,keep,encoding,0.7331398135409253,-0.2173396935786606,-0.32854882171075833,0
func3C,1001,rf,flip,combination,-0.2673310858820547,-0.45247288719376866,-0.45247288719376866,0
func3C,1001,rf,flip,encoding,0.0768172940670615,0.04295224671082348,0.0038592890490665244,0
func3C,1001,tpe,own,own,-1.6371436966089448e-05,-0.3962269182050657,-0.6916167808403684,0
func3C,1001,random,random,combination,0.5165814651949417,0.21991365513610817,0.04819973403367604,0
func3C,1002,gp,keep,combination,-0.06072659998632496,-0.06072659998632496,-0.10799739145917653,0
func3C,1002,gp,keep,encoding,-0.06072659998632496,-0.06072659998632496,-0.08867026908735748,0
func3C,1002,gp,flip,combination,-0.06072659998632496,-0.06072659998632496,-0.06072659998632496,0
func3C,1002,gp,flip,encoding,-0.06072659998632496,-0.06072659998632496,-0.06072659998632496,0
func3C,1002,rf,keep,combination,-0.06072659998632496,-0.33917899077301583,-0.33917899077301583,0
func3C,1002,rf,keep,encoding,-0.1405577195418247,-0.43937511599723256,-0.43937511599723256,0
func3C,1002,rf,flip,combination,-0.06072659998632496,-0.3787890691981529,-0.3787890691981529,0
func3C,1002,rf,flip,encoding,-0.22878547792849663,-0.27970524916931677,-0.29588305569146184,0
func3C,1002,tpe,own,own,-0.2962174305850723,-0.2962174305850723,-0.6311153877531295,0
func3C,1002,random,random,combination,-0.06072659998632496,-0.06072659998632496,-0.06072659998632496,0
func3C,1003,gp,keep,combination,0.3045998352942189,-0.3091803948554853,-0.3091803948554853,0
func3C,1003,gp,keep,encoding,0.38669272942670774,0.16789560092108669,0.06274855193227663,0
func3C,1003,gp,flip,combination,0.28169026362591776,0.06514222180438048,0.06514222180438048,0
func3C,1003,gp,flip,encoding,0.41523101671783347,0.2453793376194194,-0.23312923009118816,0
func3C,1003,rf,keep,combination,0.12564751769764665,-0.44794162568329415,-0.44794162568329415,0
func3C,1003,rf,keep,encoding,0.35454285453778794,0.04301569733463957,0.04301569733463957,0
func3C,1003,rf,flip,combination,0.08479589202872784,-0.36637709943495633,-0.36637709943495633,0
func3C,1003,rf,flip,encoding,0.23995790788623164,0.0015293666420278657,0.0015293666420278657,0
func3C,1003,tpe,own,own,0.2539286414355379,-0.4366984516839005,-0.4565217576957414,0
func3C,1003,random,random,combination,0.41523101671783347,0.2809519315576413,-0.08236491647535615,0
func3C,1004,gp,keep,combination,0.2873209710266343,-0.15426845757628785,-0.15426845757628785,0
func3C,1004,gp,keep,encoding,0.03742462467877077,0.03742462467877077,0.02632716963459994,0
func3C,1004,gp,flip,combination,0.03790008263379734,-0.03879161078334562,-0.420571724477512,0
func3C,1004,gp,flip,encoding,0.08482798720975465,-0.1715826280051338,-0.3977627896879734,0
func3C,1004,rf,keep,combination,0.30141050811081965,-0.31219309964908476,-0.31219309964908476,0
func3C,1004,rf,keep,encoding,0.263148861201963,0.1020573344889492,0.08409064027697431,0
func3C,1004,rf,flip,combination,0.30141050811081965,0.30141050811081965,-0.1926530479717391,0
func3C,1004,rf,flip,encoding,0.30141050811081965,0.15748576928792407,0.08879401688545296,0
func3C,1004,tpe,own,own,0.47051224749406884,0.12099367484360324,-0.3552779629916013,0
func3C,1004,random,random,combination,0.30141050811081965,0.30141050811081965,-0.16451059772689183,0
func3C,1005,gp,keep,combination,0.15775090549889,0.024921367832513697,-0.18970783754256126,0
func3C,1005,gp,keep,encoding,0.06062884619595957,0.03740419186974486,-0.4123505158384588,0
func3C,1005,gp,flip,combination,0.25448007224348224,-0.09088343790306419,-0.36782784595280066,0
